id,GroupName,Prefectures,PostalCode,Address,TelephoneNumber,Email,HomePage,Philosophy,Product,Deadline,Condition,Offer,NorthLa-EastLon
53,ＮＰＯ法人もったいないジャパン,神奈川県,253-0071,神奈川県茅ケ崎市萩園 1642－2,0467-38-7222,info@mottainai-japan.com,http://mottainai-japan.com/,この法人は「もったいない」の心を活動の軸とし、まだ食べられるのに廃棄される食品や、使用できる日用品などを広く集め、それを必要としている国内外の福祉団体や個人等に寄贈し、また「もったいない精神」を普及することにより、明るく健康で笑顔の絶えない社会の実現に貢献することを目的とする（定款より抜粋）。,加工食品（常温）、農産物,90,賞味期限が３ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、障害 者施設、生活困窮者支援団体、個人支援、炊き出し、老人 施設、グループホーム、災害支援団体、学校外学習生活支 援団体、子ども食堂等,"[35.36250665, 139.41238525]"
54,特定非営利活動法人ワンエイド,神奈川県,252-0001,神奈川県座間市相模が丘 4－42－20,046-258-0002,own_aid@yahoo.co.jp,http://own-aid.com,#N/A,加工食品（常温）、農産物,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、障害者施設、生活困窮者支援団体、個人支援、老人施設、学校外学習生活支援団体、子ども食堂等,"[35.4886504, 139.4076305]"
55,フードバンクしばた,新潟県,957-0065,新潟県新発田市本町3-3-3,0254-20-8666,#N/A,https://foodbank-shibata.org/,#N/A,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、 農産物、水産物・畜産物など,14,賞味期限が２週間以上残っているもの,個人支援、子ども食堂等,"[37.9478881, 139.3271831]"
56,特定非営利活動法人フードバンクにいがた,新潟県,950-0965,新潟県新潟市中央区新光町 6－2 勤労福祉会館 4F,025-384-4466,fbn@roukyou.ne.jp,https://www.foodbank-niigata.org/,新潟県における食のセーフティネットを支えるフードバンクシステムを構築し市民行政、企業、福祉施設の皆さんと協同し食べ物がムダなく消費され誰もが食を分かち合える心豊かな社会づくりを目指していきます。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、 農産物,60,賞味期限が２ヶ月以上残っているものなど,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、災害支援団体、子ども食堂等,"[37.6452283, 138.7669125]"
57,特定非営利活動法人 フードバンクとやま,富山県,939-0256,富山県射水市広上 1159,090-1393-5619,foodbank.toyama@gmail.com,http://www.foodbank-toyama.com,いっしょにＭＴＴＡＩＮＡＩをつなげよう！,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[36.7304657, 137.0753818]"
58,いしかわフードバンク・ネット,石川県,920-024,石川県金沢市西念 3 丁目 3－5,076-222-3310,info@foodbank-shinshu.org,http://isikawafb.net,安心してくらせる地域インフラの一つとしてフードバンク・フードドライブのしくみを県内に定着させていくため設立。１．県内のフードバンク団体、福祉団体、こども食堂、各種団体、自治体、関心を持つ県民と連携してフードバンク・フードドライブのしくみを県内に広める。２．食品を必要としている現場のニーズに基づき、企業や個人に働き掛け、食品の寄贈をコーディネートする。３．食品ロス削減のための啓発を行う。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、生活困窮者支援団体、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[36.561627, 136.6568822]"
59,特定非営利活動法人 フードバンクいしかわ,石川県,923-1246,石川県能美市倉重町丁 34－1 エポック 21A202,076-246-1197,foodbankishikawa@cameo.plala.or.jp,http://foodbank.ishikawa.jp/,もったいないをありがたいに！,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,30,賞味期限が１ヶ月以上残っているものなど,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災 害支援団体、学校外学習生活支援団体、子ども食堂等,"[36.4424753, 136.5050936]"
60,特定非営利活動法人フードバンク小松,石川県,923-0831,石川県小松市打越町丙 106－3,0761-48-8739,npo.foodross-0.komatsu@outlook.jp,なし,この法人は、南加賀を中心とした住民や他団体らに対してフードドライブ・フードバンクや日用品の再利用の提供及び生活支援に関する事業を行い、住民の生活安定と環境保全に寄与することを目的とする。,加工食品（常温）、米など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,シェルター、自立援助ホーム、生活困窮者支援団体、個人支援、子ども食堂等,"[34.623259, 135.5551552]"
61,特定非営利活動法人 フードバンクふくい,福井県,916-0015,福井県鯖江市御幸町3丁目 6-20,090-6811-3363,foodbank-fukui@cap.ocn.ne.jp,http://foodbank-fukui.com/,#N/A,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているものなど,児童養護施設、母子生活支援施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、子ども食堂等,"[35.9565096, 136.1843593]"
62,認定ＮＰＯ法人 フードバンク山梨,山梨県,400-0214,山梨県南アルプス市百々3697－2,055-298-4844,info@fbyama.com,https://fbyamana.fbmatch.net,十分に安全に食べられるのに、箱が壊れたり印字が薄くなったりして販売できない食品や、家庭から出る余剰食品を寄贈していただき生活困窮家庭や訪施・団体に無償で提供する。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているものなど,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、子ども食堂等,"[35.6083617, 138.4649893]"
63,特定非営利活動法人フードバンク信州,長野県,381-0034,長野県長野市大字高田 1029 番地 1,026-219-3215,info@foodbank-shinshu.org,http://foodbank-shinshu.org/,・食品ロスの削減と資源の有効活用。・生活困窮者の自立支援。・資源循環による地域支え合いのネットワークづくり。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,母子生活支援施設、シェルター、障害者施設、生活困窮者支援団体、個人支援、グループホーム、災害支援団体、子ども食堂等,"[36.1143945, 138.0319015]"
64,特定非営利活動法人ＮＰＯホットライン信州,長野県,399-0011,長野県松本市寿北 5－4－28－1,0120-914-994,yff52160@nifty.com,https://hotline-shinshu.jimdo.com/,生活困窮者への多角的な支援等を通して、誰もが「居場所」「出番」自立」「生活の改善」ができるよう、地域・環境・ネットワーク作りに寄与することで社会福祉の向上を図ることを目的とし、食糧支援や行政機関等への同行支援などを通じて、地域社会の支援制度の改善と事業内容の充実を図る,加工食品（常温）、加工食品（冷凍）、農産物、水産物・畜産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、障害者施設、個人支援、炊き出し、グループホーム、災害支援団体、子ども食堂等,"[36.2382047, 137.9687141]"
65,ＮＰＯ法人たすけ愛おおがき フードバンクぎふ,岐阜県,503-0034,岐阜県大垣市荒尾町 1490－3,090-3383-2301,akahoshi@lilac.ocn.ne.jp,https://foodbank-gifu.amebaownd.com/,#N/A,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,#N/A,#N/A,児童養護施設、個人支援、子ども食堂,"[35.7867449, 137.0460777]"
66,認定ＮＰＯ法人フードバンクふじのくに,静岡県,420-0071,静岡県静岡市葵区一番町 50 番地 番町市民活動センター2 階,054-248-6177,info@fb-fujinokuni.org,http://fb-fujinokuni.org/,食品ロスの有効活用により、食料をムダにせず、食を分かち合い、命や人権を守る。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.9332488, 138.0955398]"
67,ＮＰＯ法人ＰＯＰＯＬＯ,静岡県,416-0914,静岡県静岡市葵区宮ケ崎町 53 番地,0545-62-8255,info@npo-popolo.org,http://npo-popolo.org/,#N/A,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,個人支援、子ども食堂等,"[34.9332488, 138.0955398]"
68,特定非営利活動法人 セカンドハーベスト名古屋,愛知県,462-0831,愛知県名古屋市北区城東町七丁目 148 番地,052-913-6280,info@2h-nagoya.org,https://www.2h-nagoya.org/,フードバンク活動を通じ東海地方における食のセーフティネットを構築する。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[35.1364375, 136.93489224218092]"
69,特定非営利活動法人 フードバンクかすがい,愛知県,480-0304,愛知県春日井市神屋町 2298－707,070-5251-4277,fbkasugai@gmail.com,https://www.facebook.com/foodbankkasugaiaichi/,#N/A,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、炊き出し、グループホーム、子ども食堂,"[35.273804, 137.007459]"
70,フードバンクのわみ（のわみ相談所）,愛知県,491-0869,愛知県一宮市向山町 1－10－4,0586-72-9697,nowami38@yahoo.co.jp,http://nowami.han-be.com/,この団体は、社会的弱者及び、生活困窮者の基本的人権を擁護するため活動する。そして、これらの諸活動を通じ国民全体の人権を擁護し公共の福祉に貢献できることを目的とする。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、母子生活支援施設、シェルター、障害者施設、生活困窮者支援団体、個人支援、炊き出し、子ども食堂等,"[35.304878, 136.806915]"
71,フードバンクＩＳＥ,三重県,516-0026,三重県伊勢市宇治浦田 3－1－18,0596-68-9156,genryu1230@gmail.com,https://foodbank.amebaownd.com/,食品ロスの削減、環境問題への取り組み、「もったいない」から「ありがとう」への架け橋、困窮者自立支援。,#N/A,30,賞味期限が１ヶ月以上残っているもの,童養護施設、個人支援等,"[34.5037251, 136.726303]"
72,フードバンク多文化みえ,三重県,519-0505,三重県伊勢市小俣町本町 1312,090-2611-1701,fb.tabunkamie@gmail.com,http://www.fb-tabunkamie.com,人種の色と地の境 我が立つ前に差別なし 膏雨等しく湿さば 磽确やがて花咲かむ。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,60,賞味期限が２ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、老人施設、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.5037251, 136.726303]"
73,ＮＰＯ法人フードバンク松阪,三重県,515-0834,三重県松阪市岡山町 83－2,090-7309-7287,fdbkmatsusaka@gmail.com,https://foodbkmatsusaka.jimdofree.com,人と人とのつながりを大切に、「食」を通して、生活に困っている方に安心をお届けしたいという思いが基本理念となっております。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,障害者施設、個人支援,"[34.5683894, 136.4885753]"
74,特定非営利活動法人フードバンク三重,三重県,514-0018,三重県津市中河原 2129－1,070-1610-1008,foodbankmie@yahoo.co.jp,#N/A,地域の福祉環境の向上と相互扶助の社会作りに寄与すること。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,30,賞味期限が１ヶ月以上残っているもの,個人支援、子ども食堂,"[34.7339685, 136.5154489]"
75,フードバンク滋賀,滋賀県,525-0057,滋賀県草津市桜ヶ丘 4 丁目 13 番 25 号,090-2359-4585,foodbankshiga@gmail.com,https://compass.shiga-saku.net/,「もったいない」から「ありがとう」へ。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,シェルター、自立援助ホーム、生活困窮者支援団体、個人支援等,"[35.0340345, 135.9507855]"
76,フードバンクひこね（社会福祉法人彦根市社会福祉協議会）,滋賀県,522-0041,滋賀県彦根市平田町 670 番地 彦根市福祉センター別館,0749-22-2821,fbhikone@yahoo.co.jp,http://www.hikone-shakyo.or.jp/,「食品の“もったいない”の削減」および「困ったときは“お たがいさん”の地域づくり」。,加工食品（常温）、加工食品（冷蔵）、農産物、水産物・畜 産物,30,賞味期限が１ヶ月以上残っているもの,生活困窮者支援団体、個人支援、子ども食堂等,"[35.254276, 136.215376]"
77,フードバンクびわ湖,滋賀県,528-0057,滋賀県甲賀市水口町北脇 557,090-2017-6822,foodbankbiwako@gmail.com,https://peraichi.com/landing_pages/view/foodbankbiwako/,もったいないを「笑顔」と「絆」に。,加工食品（常温）、農産物など,0,パンは消費期限当日に提供,児童養護施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、学校外学習生活支援団体、子ども食堂等,"[35.247154, 136.109385]"
78,コズモズ関西フードバンク,京都府,612-8057,京都府京都市伏見区平野町 59－2,075-200-3845 ,#N/A,https://kozmoz.jp/kansai-foodbank,#N/A,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、自立援助ホーム、更生支援施設,"[34.932474,135.76054]"
79,特定非営利活動法人セカンドハーベスト京都,京都府,605-0018,京都府京都市東山区巽町 442 番地の 9 京都市東山いきいき市民活動センター内,075-601-2100,info@2hkyoto.org,https://www.2hkyoto.org/,私たち『セカンドハーベスト京都』は、安全に食べられるにも関わらず今まで廃棄されていたであろう食品を集め、支援を必要とする人々を支える団体等に提供する活動を通して、京都における食品ロス削減とフードセーフティネットを両立させる社会インフラの一つとなることを目指す。そのために、１．生活困窮者を支援する団体の善きパートナーとなります。２．困難な状況にある子どもたちを食を通して支えられる団体を支援します。３．食品関連企業にとって信頼されるパートナーとなります。４．ボランティアにとって有意義な活動の場を提供します。,加工食品（常温）、加工食品（冷蔵）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、子ども食堂等,"[35.007742,135.776241]"
80,フ―ドバンク京田辺,京都府,610-0332,京都府京田辺市興戸犬伏 5－8 京田辺社会福祉協議会内,0774 ｰ 63 ｰ 3890,sanonouen_munouyaku@kcn.jp,#N/A,無駄になるものを、有効利用。,加工食品（常温）など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、子ども食堂等,"[34.8029175, 135.760651]"
81,フードバンク京都,京都府,617-0002,京都府向日市寺戸町山縄手 4－2,075-201-9291,1fbkyoto@gmail.com,https://www.foodbankkyoto.com/,困窮者への食料支援。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、更生支援施設、生活困窮者支援団体、個人支援、炊き出し、子ども食堂等,"[34.9492795, 135.700666]"
82,フードバンク長岡京,京都府,617-0833,京都府長岡京市神足 2 丁目 3 番 1 号,075-963-5508,yoko.katayama@docomo.ne.jp,https://www.facebook.com/foodbanknagaokakyo/?ref=page_internal,食品ロス削減につき（もったいない）必要とする団体に提供（ありがとう）し、心のキャッチボールを大切にしながら併せて環境問題等に取組む。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,母子生活支援施設、障害者施設、炊き出し、老人施設、災 害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.924418, 135.680271]"
83,認定ＮＰＯ法人 ふーどばんくＯＳＡＫＡ,大阪府,588-8101,大阪府堺市東区八下町 1－122,072-258-2201,info@foodbank-osaka.jp,https://www.foodbank-osaka.jp/,「もったいない」をありがとうに変える。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.577824, 135.4986844]"
84,認定ＮＰＯ法人 フードバンク関西,兵庫県,658-0021,兵庫県神戸市東灘区深江本町 1 丁目 8－16－101,078-855-7025,info@foodbankkansai.org,https://foodbankkansai.org/,命の糧である食べ物を、本来の価値を全うして有効活用し、環境にやさしく、人にもやさしい、互いに支えあい、尊重し合える社会の実現をめざします。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、子ども食堂等,"[34.6932379, 135.1943764]"
85,特定非営利活動法人 フードバンクはりま,兵庫県,671-0219,兵庫県姫路市飾東町豊国 503,079-227-8304,info@foodbankharima.org,https://foodbankharima.org,フードバンク活動を行うことにより食品の無駄を減らし多くの人が安心して暮らすことのできる社会の実現を目指すとともに、潜在的にそのような支援をしたいと考えている人々が活動を行うきっかけを作ることで相互扶助の社会づくりに寄与する。,加工食品（常温）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、生活困窮者支援団体、個人支援、炊き出し、子ども食堂等,"[34.8153529, 134.6854793]"
86,フードバンク奈良,奈良県,636-0114,奈良県生駒郡斑鳩町法隆寺西 3 丁目 1－32,090-2286-4548,foodbank.nara@gmail.com,https://foodbanknara.jimdofree.com/,#N/A,加工食品（常温）、米,30,賞味期限が１ヶ月以上残っているもの,自立援助ホーム、障害者施設、生活困窮者支援団体、グループホーム、学校外学習生活支援団体、子ども食堂等,"[34.61052,135.731965]"
87,特定非営利活動法人フードバンク和歌山,和歌山県,644-0011,和歌山県御坊市湯川町財部 778－7,080-3792-0000,foodbank_wakayama@yahoo.co.jp,http://foodbank-wakayama.com/,貧困問題を解消、生活環境の改善を目的にフードバンク事業を、実施している。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物,14,賞味期限が２週間以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助 ホーム、障害者施設、生活困窮者支援団体、個人支援、グ ループホーム、子ども食堂等,"[33.8913819, 135.152572]"
88,フードバンク鳥取,鳥取県,683-0853,鳥取県米子市両三柳 3053 番地 8,090-1189-1369 ,hiroe@chukai.ne.jp,#N/A,あらゆる暴力被害者に対する支援を目的とする。特に母子が安心して生活できるよう自立できるまで物心ともに支えていく。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、 米、水産物・畜産物など,7,賞味期限が１週間以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、グループホーム、学校外学習生活支援団体、子ども食堂等,"[35.4276408, 133.331459]"
89,社会福祉法人松江市社会福祉協議会,島根県,690-0852,島根県松江市千鳥町 70,0852-24-9026,shakyo-m@web-sanin.co.jp,http://www.shakyou-matsue.jp/,松江市社協は、地域福祉を推進する『公共性』『公益性』の高い民間団体として、誰もが安心して暮らす事ができる『福祉でまちづくり』を地域住民の方やボランティアの方、福祉・保健・医療の多様な機関と共に推進することを使命とします。,加工食品（常温）,30,賞味期限が１ヶ月以上残っているもの,シェルター、生活困窮者支援団体、個人支援、子ども食堂等,"[35.468115, 133.048768]"
90,岡山環境カウンセラー協会、更生保護施設等支援協議会,岡山県,701-0205,岡山県岡山市南区妹尾 2618、津山市中北上 1731－2,090-7595-7146,fujimoto-haruo@assess.co.jp,#N/A,環境省の環境カウンセラー登録制度にのっとり市民・事業者・行政の連携を促進。,加工食品（常温）、農産物,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,児童養護施設、更生支援施設、個人支援等,"[34.8581334, 133.7759256]"
91,順正デリシャスフードキッズクラブ,岡山県,716-8508,岡山県高梁市伊賀町 8,0866-22-3548,volcen@office.jei.ac.jp,http://volcen.kiui.ac.jp,１５才以下の子どもを抱える、生活困窮家庭に無償で食料支援を行い、「食のセーフティネット」を構築する。,加工食品（常温）、農産物,30,賞味期限が１ヶ月以上残っているもの,個人支援等,"[34.7908975, 133.6169111]"
92,認定ＮＰＯ法人ハーモニーネット未来,岡山県,714-0081,岡山県笠岡市笠岡 5909,0865-63-4995,kodomo1@kcv.ne.jp,http://hamomira.or.jp/,子どもから高齢者・彰がい者・若者、今を生きるすべての人が安心して、自分らしく生活することができる地域社会の創出。,加工食品（常温）、農産物,0,都度、案件ごとに判断,児童養護施設、障害者施設、生活困窮者支援団体、個人支援、グループホーム、災害支援団体、子ども食堂等,"[34.8581334, 133.7759256]"
93,フード・シェアリング・ジャパン,岡山県,709-2344,岡山県加賀郡吉備中央町上野 2440－52,0866-56-7187,nariken77@hotmail.com,https://www.facebook.com/FoodsharingJapan/,食品レスキュー＆笑顔プロデュース！ｓａｖｉｎｇ Ｆｏｏｄ ｉｓ ｓａｖｉｎｇ ｃｏｕｎｔｒｙ．,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物,0,都度、案件ごとに判断,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、災害支援団体、子ども食堂等,"[34.847463,133.776493]"
94,フードバンクアリス（一般社団法人アリス福祉会）,岡山県,712-8043,岡山県倉敷市広江 5 丁目 2-45,086-436-6603,alice2015@snow.plala.or.jp,http://alice-fukushi.jimdofree.com/,「もったいない」をなくそう,加工食品（常温）、加工食品（冷蔵・チルド）、野菜・果物、菓子、清涼飲料、日用品・雑貨・衣類、備蓄食料、米飯、巻き寿司,0,未開封・未使用 賞味・消費期限当日まで可（要相談）,児童養護施設、自立援助ホーム、障害者施設、生活困窮者支援団体、シェルター、グループホーム、地方公共団体、老人施設、子ども食堂、更生保護施設、社会福祉協議会、他のフードバンク,"[34.5850791, 133.7719957]"
95,特定非営利活動法人フードバンク岡山,岡山県,700-0867,岡山県岡山市北区岡町 14－9 岡町ビル 202,090-7131-5672,info@fb-okayama.com,http://fb-okayama.com/,これまで無駄になっていた「たべもの」とそれを必要とする「ひと」とのつながりを創造します。,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物など,90,賞味期限が 3 週間以上残っているもの,児童養護施設、シェルター、自立援助ホーム、障害者施設、生活困窮者支援団体、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.8581334, 133.7759256]"
96,フードバンクせとうち,岡山県,701-4221,岡山県瀬戸内市邑久町尾張 700-1,0869-22-0433,minato14@plum.ocn.ne.jp,#N/A,フードバンク活動を通じて「食品ロス削減」、地域の「セーフティーネット」を構築することを目的に活動しています。,加工食品（常温）、 加工食品（冷蔵・チルド）、 野菜、果物菓子、清涼飲料、日用品・雑貨・衣類,0,配布食品は未開封・未使用、賞味期限に制限はなし,児童養護施設、自立援助ホーム、障害者施設、生活困窮者支援団体、シェルター、グループホーム、地方公共団体、老人施設、個人支援,"[34.6647608, 134.0926948]"
97,社会福祉法人 正仁会 フードバンク事業あいあいねっと,広島県,731-0221,広島県広島市安佐北区可部 3－9－21,082-819-3023,#N/A,https://aiainet.org/,#N/A,#N/A,#N/A,#N/A,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.3916058, 132.4518156]"
98,NPO 法人広島こども食堂支援センター,広島県,730-0823,広島市中区吉島西二丁目8番3号,080-5237-4585,hs.backyard@gmail.com,https://5d2089a920a96.site123.me/,「こども食堂」の普及拡大、運営の後方支援、企業との連携促進などを行うことにより、地域全体で子どもたちの成長を見守る環境の整備と、活動を介して地域住民同士がつながり、お互いに支え合う共生社会の実現に寄与することを目的とする。,加工食品（常温）、 加工食品（冷蔵・チルド）、 野菜、果物菓子、清涼飲料、日用品・雑貨・衣類,30,配布食品は未開封・未使用、賞味期限１カ月前,子ども食堂、及びこれに類する活動 ,"[34.3916058, 132.4518156]"
99,特定非営利活動法人 フードバンク福山,広島県,720-0017,広島県福山市千田町 3 丁目 4－22,090-5708-3072,fukuden.senda250501@riuer.ocn.ne.jp,#N/A,食品を活かしきる,加工食品（常温）、加工食品（冷蔵）、加工食品（冷凍）、農産物、水産物・畜産物など,7,賞味期限が１週間以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、炊き出し、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.4857039, 133.3623097]"
100,特定非営利活動法人ＦＯＯＴ＆ＷＯＲＫ フードバンク部 ゆるテイ,広島県,736-0045,広島県安芸郡海田町堀川町 1－8 ホスタ海田堀川町ビル 1 階,082-554-6393,yuruthi@senoriver.com ,https://footandwork.com/,地域力向上のため「人と人」や「人と社会資源」がゆるく繋がり多様なコミニュティが広がり、場の創出及び社会的課題へ貢献する。,加工食品（常温）、加工食品（冷蔵）、農産物など,1,賞味期限が１週間以内であっても、賞味期限までの日数が残っているもの,#N/A,"[34.368438,132.531039]"
101,特定非営利活動法人 フードバンク山口,山口県,753-0851,山口県山口市黒川 1159 番地 13,090-8600-0864,foodbank.ymg@gmail.com,http://blog.canpan.info/fbyamaguchi/,事業者及び一般家庭等から発生している食品ロスの削減を推進し、ロスとなっている食品を様々な理由で食品を必要としている福祉施設や生活困窮者等、及び大規模災害の被災者等に支援すること等により、食料の偏りを縮小するとともに、事業者及び消費者の社会的責任についての普及、啓発を通して、持続可能な社会の構築に寄与すること。,加工食品（常温）、加工食品（冷凍）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[34.1781317, 131.4737077]"
102,特定非営利活動法人フードバンクとくしま,徳島県,770-0942,徳島県徳島市昭和町 3 丁目 35－2 ヒューマンわーくぴあ 徳島 305,088-679-1919,foodbanktokushima@orion.ocn.ne.jp,http://foodbank.roukyou.gr.jp,社会的支援を必要とする人たち及び団体に対して、品質に 問題がないにも関わらず廃棄されている食品や食材を提供 する事業を行い、地域で支え合う社会の実現に寄与する。,加工食品（常温）、加工食品（冷蔵）、農産物など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、学校外学習生活支援団体、子ども食堂等,"[34.0698307, 134.5550353]"
103,特定非営利活動法人フードバンク香川,香川県,760-0017,香川県高松市番町一丁目 10－35,087-861-2233,chiiki1@kagawaken-shakyo.or.jp,http://www.kagawaken-shakyo.or.jp/kyougikai/foodbank.html,地域福祉、環境保全、教育等の社会的な課題に取り組む団 体、食品生産、製造・加工等に携わる団体及び食品流通等 に関わる団体又は個人等と連携して、これまで無駄となっ ていた「食品」を媒介として、地域における人と人のつな がりを創造するフードバンク活動を推進することにより、 地域で支えあう社会の実現に寄与することを目的とする。,加工食品（常温）、米など,30,賞味期限が１ヶ月以上残っているもの,児童養護施設、母子生活支援施設、シェルター、自立援助ホーム、更生支援施設、障害者施設、生活困窮者支援団体、個人支援、老人施設、グループホーム、災害支援団体、学校外学習生活支援団体、子ども食堂等,"[34.3425592, 134.0465338]"
